Original Term	Original Label	Suggested Normalization	PATO xref	CHEBI xref	PO xref	ENVO xref
CarbonDioxide	CarbonDioxide	Carbon dioxide				
CarbonDioxideConcentrationInAir	CarbonDioxideConcentrationInAir	NA				
CarbonDioxideConcentrationInInterCellularAir	CarbonDioxideConcentrationInInterCellularAir	NA				
CarbonNitrogenRatio	CarbonNitrogenRatio	Carbon to nitrogen ratio				
CarbonPhosphorusRatio	CarbonPhosphorusRatio	Carbon to phosphorus ratio				
CarboxylaseActivity	Carboxylase activity	NA				
Carboxylation	Carboxylation	Carboxylation				
Ch4Emission	Methane emission	Methane				
ChemicalEntity	chemical entity	NA				
Chloride	Chloride	Chloride				
Chlorophyll	Chlorophyll	Chlorophyll				
Cl	Chlorine	Chlorine				
Clay	Clay	Clay				
Clumping	Clumping	Clumping				
Coefficient	Coefficient	Coefficient				
ColdRequirement	Cold requirement	Cold requirement				
Concentration	Concentration	Concentration				
Constraint	Constraint	Constraint				
Content	Content	Content				
Context	context	NA				
ConvectiveHeat	ConvectiveHeat	NA				
Cotyledon	Cotyledon	Cotyledon			PO:0020030	
Critical	Critical	Critical				
DIC	Dissolved inorganic carbon	Dissolved inorganic carbon				
DIP	Dissolved inorganic phosphorus	Dissolved inorganic phosphorus				
DOC	DOC	Dissolved organic carbon				
DON	DON	Dissolved organic nitrogen				
DOP	Dissolved organic phosphorus	Dissolved organic phosphorus				
Day	Day	Day				
DeadStandingTree	DeadStandingTree	Dead standing tree				
DeadTree	Dead tree	NA				
Dehardening	Dehardening	NA				
Deposition	Deposition	NA				
Depth	Depth	Depth	PATO:0001595			
Diffusivity	Diffusivity	Diffusivity				
Dissolution	Dissolution	NA				
DissolutionVolatilization	Dissolution volatilization	NA				
DissolvedInorganicNitrogen	Dissolved inorganic nitrogen	Dissolved inorganic nitrogen				
DissolvedOrganicCarbon	Dissolved organic carbon	Dissolved organic carbon				
DissolvedOrganicNitrogen	Dissolved organic nitrogen	Dissolved organic nitrogen				
DissolvedOrganicPhosphoros	DissolvedOrganicPhosphoros	Dissolved organic phosphorus				
DissolvedOrganicPhosphorus	DissolvedOrganicPhosphorus	Dissolved organic phosphorus				
Drainage	Drainage	Drainage				
Duration	Duration	Duration				
Ear	Ear	Ear				
EarthSurface	EarthSurface	NA				
Ecosystem	Ecosystem	Ecosystem				
Element	Element	Element				
Emission	Emission	Emission				
Energy	Energy	Energy				
EnvironmentalEntity	environmental entity	NA				
Enzyme	Enzyme	Enzyme				
Erosion	Erosion	Erosion				
ErosionBand	ErosionBand	Erosion band				
ErosionRate	Erosion rate	Erosion				
Evaporation	Evaporation	Evaporation				
Evapotranspiration	Evapotranspiration	NA				
Exchange	Exchange	Exchange				
F1PR	F1PR	NA				
Fe	Iron	Iron				
FeH2PO4	Iron dihydrogen phosphate	Iron dihydrogen phosphate				
FeHPO4	Iron hydrogen phosphate	Iron hydrogen phosphate				
FeOH	Iron hydroxide	Iron hydroxide				
FeOH2	Iron dihydroxide	Iron dihydroxide				
FeOH3	Iron trihydroxide	Iron trihydroxide				
FeOH4	Iron tetrahydroxide	Iron tetrahydroxide				
FePO4	FePO4	Iron phosphate				
FeSO4	Iron sulfate	Iron sulfate				
Fertilizer	Fertilizer	Fertilizer				
FertilizerApplication	FertilizerApplication	Fertilizer				
FertilizerNH4	FertilizerNH4	Fertilizer				
Field	Field	Field				
FieldCapacityWiltingPoint	FieldCapacityWiltingPoint	NA				
Fire	Fire	Fire				
Flux	Flux	Flux				
Fraction	Fraction	Fraction				
Gas	Gas	Gas				
GasFlux	GasFlux	NA				
GaseousN2O	GaseousN2O	Nitrous oxide				
Genome	Genome	NA				
Geometry	Geometry	NA				
Grain	Grain	Grain				
GrainElement	GrainElement	NA				
GrainGrowth	GrainGrowth	Grain growth				
GrainNumber	GrainNumber	Grain number				
Grid	Grid	Grid				
GridCell	GridCell	Grid cell				
GridLayer	GridLayer	NA				
GroundSurface	Ground surface	Ground surface				
Growth	Growth	Growth				
H	Hydrogen	Hydrogen				
H2	Dihydrogen	Hydrogen				
H2O	H2O	Water				
H2PO4	Dihydrogen phosphate	Dihydrogen phosphate				
H3PO4	Phosphoric acid	Phosphoric acid				
HCO3	Bicarbonate	Bicarbonate				
HPO4	Hydrogen phosphate	Hydrogen phosphate				
HalfSaturationConstant	Half saturation constant	Half saturation constant				
Harvest	Harvest	Harvest				
Heat	Heat	Heat				
HeatCapacity	Heat capacity	Heat capacity				
HeatRequirement	HeatRequirement	NA				
HeatTransfer	HeatTransfer	NA				
Height	Height	Height				
Humus	Humus	Humus				
Husk	Husk	Husk				
HuskElement	HuskElement	Husk				
Hydrogen	Hydrogen	Hydrogen				
HydrogenGas	HydrogenGas	Hydrogen				
Hydroxide	Hydroxide	Hydroxide				
Ice	Ice	Ice				
Internode	Internode	Internode				
Ion	Ion	Ion				
IonSelectivity	IonSelectivity	Ion selectivity				
Ions	Ions	Ion				
Iron	Iron	Iron				
Irrigation	Irrigation	Irrigation				
IrrigationWater	IrrigationWater	Irrigation water				
K	Potassium	Potassium				
KMValue	Km value	NA				
KSO4	Potassium sulfate	Potassium sulfate				
LAI	LAI	Leaf area index				
LWRad	LWRad	Longwave radiation				
LandSurface	LandSurface	Land surface				
Landscape	Landscape	Landscape				
LatentHeat	LatentHeat	NA				
Layer	Layer	Layer				
Leaf	Leaf	Leaf			PO:0025034	
LeafArea	LeafArea	Leaf				
LeafElement	Leaf element	Leaf				
LeafLength:WidthRatio	LeafLength_WidthRatio	Leaf				
LeafNumber	LeafNumber	Leaf				
LeafPlusSheath	LeafPlusSheath	Leaf				
LeafStructuralElement	LeafStructuralElement	Leaf				
Leafout	Leaf out	NA				
Litter	Litter	Litter				
Litterfall	Litterfall	Litter				
LongwaveRadiation	LongwaveRadiation	Longwave radiation				
Macropore	Macropore	Macropore				
